1500 54
3600 133
4500 213
5744 322
6344 435
7844 580
9944 758
10844 929
13244 1159
14144 1378
15644 1648
16244 1899
17144 2168
19244 2486
20444 2788
22544 3174
23444 3525
24044 3910
25244 4347
26744 4767
27644 5228
28544 5835
